id,symbol,name,industry,industry_id,stockrecord_ptr_id,ticker_id,date,time,annual_gain,book_value,change,change_inpercent,dividend_share,dividend_yield,eps_est_current_year,eps_est_next_quarter,eps_est_next_year,earnings_share,fifty_day_MA,oneyr_target_price,peg_ratio,pe_ratio,ebitda,market_cap,percent_change_from_year_high,percent_change,percent_change_fifty_MA,percent_change_twohund_MA,percent_change_from_year_low,price_book,price_eps_est_current_year,price_eps_est_next_year,price_sales,twohund_MA,volume,year_high,year_low,last_trade_price
529,E25.SI,8Telecom International,Communication Equipment,841,1091,529,2014-08-20,03:30:00,,0.186,0,0.00%,0.0012,1.01,0,0,0,0.005,0.1183,,,23.8,6.9M,55.1M,-8.46%,0.00%,+0.57%,+1.63%,+14.42%,0.64,,,0.69,0.1171,301000,0.13,0.104,0.119
529,E25.SI,8Telecom International,Communication Equipment,841,502,529,2014-08-20,03:30:00,,0.186,0,0.00%,0.0012,1.01,0,0,0,0.005,0.1185,,,23.8,6.9M,55.1M,-8.46%,0.00%,+0.43%,+1.64%,+14.42%,0.64,,,0.69,0.1171,301000,0.13,0.104,0.119
484,533.SI,ABR Holdings Ltd,Restaurants,712,459,484,2014-08-27,03:46:00,,0.468,0,0.00%,0.025,3.11,0,0,0,0.04,0.8112,,,20.12,10.9M,161.8M,-17.44%,0.00%,-0.77%,-3.05%,+16.67%,1.72,,,1.6,0.8303,2000,0.975,0.69,0.805
484,533.SI,ABR Holdings Ltd,Restaurants,712,1051,484,2014-08-27,03:46:00,,0.468,0,0.00%,0.025,3.11,0,0,0,0.04,0.8124,,,20.12,10.9M,161.8M,-17.44%,0.00%,-0.91%,-3.03%,+16.67%,1.72,,,1.6,0.8302,2000,0.975,0.69,0.805
581,A75.SI,Ace Achieve Infocom Ltd,Wireless Communications,840,1136,581,2014-08-28,03:33:00,,0.088,0,0.00%,0,,0,0,0,0.005,0.0297,,,5.4,7.3M,20.3M,-64.94%,0.00%,-9.18%,-14.24%,+3.85%,0.31,,,0.53,0.0315,200000,0.077,0.026,0.027
581,A75.SI,Ace Achieve Infocom Ltd,Wireless Communications,840,551,581,2014-08-28,03:33:00,,0.088,0,0.00%,0,,0,0,0,0.005,0.0299,,,5.4,7.3M,20.3M,-64.94%,0.00%,-9.84%,-14.32%,+3.85%,0.31,,,0.53,0.0315,200000,0.077,0.026,0.027
417,A02.SI,Achieva Ltd,Computers Wholesale,755,995,417,2014-08-29,04:52:00,,0.062,0.004,+7.55%,0,,0,0,0,-0.015,0.0553,,,,-6.2M,29.8M,-14.93%,+7.55%,+3.08%,+22.17%,+67.65%,0.85,,,0.34,0.0467,303000,0.067,0.034,0.057
417,A02.SI,Achieva Ltd,Computers Wholesale,755,395,417,2014-08-29,04:52:00,,0.062,0.004,+7.55%,0,,0,0,0,-0.015,0.0552,,,,-6.2M,29.8M,-14.93%,+7.55%,+3.33%,+22.36%,+67.65%,0.85,,,0.34,0.0466,303000,0.067,0.034,0.057
70,A01.SI,Acma Ltd,Auto Parts,333,69,70,2014-08-29,04:35:00,,0.024,0,0.00%,0,,0,0,0,0,0.021,,,,2.6M,84.8M,-48.72%,0.00%,-4.76%,-18.53%,+11.11%,0.83,,,1.41,0.0245,628000,0.039,0.018,0.02
70,A01.SI,Acma Ltd,Auto Parts,333,705,70,2014-08-29,04:35:00,,0.024,0,0.00%,0,,0,0,0,0,0.0209,,,,2.6M,84.8M,-48.72%,0.00%,-4.39%,-18.42%,+11.11%,0.83,,,1.41,0.0245,628000,0.039,0.018,0.02
83,A59.SI,Action Asia Ltd,Electronic Equipment,314,82,83,2014-08-29,04:52:00,,0.215,0.015,+13.04%,0,,0,0,0,-0.007,0.1254,,,,1.9M,51.8M,-25.71%,+13.04%,+3.64%,+0.81%,+28.71%,0.53,,,0.39,0.129,60000,0.175,0.101,0.13
